trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.5, 'e': 0.3901516843082303}",25,15,20.698510883191613,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.38092482436688185}",20,3,28.857699943008107,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.371659872260533}",25,14,-25.2415413920588,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,12,-16.429959408875355,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.3530194012193304}",20,16,8.7817218546741,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.34364574631604705}",30,4,-26.383708345179354,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.3342377271245026}",30,0,-26.650321155221487,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.32479628443877623}",20,8,16.250975456149757,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.3153223623952687}",25,4,-14.523669530722229,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.30581690837828934}",25,11,-19.960263613634876,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.29628087292531874}",25,19,11.262989032691237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2867152096319555}",20,14,-1.1734109221989506,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2771208750565576}",20,16,6.744342093281348,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.26749882862458735}",20,10,16.976712089748826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2578500325326696}",25,13,23.57813680888662,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2481754516523729}",25,0,-104.00849234370577,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.23847605343372313}",20,7,20.655730263707127,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.22875280780845939}",30,14,22.08628370176283,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,11,-37.04565084848856,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
